,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
0,Henry Cejudo,Marlon Moraes,Red,Bantamweight,5,Orthodox,32.0,162.56,162.56,Orthodox,31.0,167.64,170.18
1,Valentina Shevchenko,Jessica Eye,Red,Women's Flyweight,5,Southpaw,31.0,165.1,167.64,Orthodox,32.0,167.64,167.64
2,Tony Ferguson,Donald Cerrone,Red,Lightweight,3,Orthodox,35.0,180.34,193.04,Orthodox,36.0,185.42,185.42
3,Jimmie Rivera,Petr Yan,Blue,Bantamweight,3,Orthodox,29.0,162.56,172.72,Switch,26.0,170.18,170.18
4,Tai Tuivasa,Blagoy Ivanov,Blue,Heavyweight,3,Southpaw,26.0,187.96,190.5,Southpaw,32.0,180.34,185.42
5,Tatiana Suarez,Nina Ansaroff,Red,Women's Strawweight,3,,28.0,165.1,167.64,Orthodox,33.0,165.1,162.56
6,Aljamain Sterling,Pedro Munhoz,Red,Bantamweight,3,Orthodox,29.0,170.18,180.34,Orthodox,32.0,167.64,165.1
7,Karolina Kowalkiewicz,Alexa Grasso,Blue,Women's Strawweight,3,Orthodox,33.0,160.02,162.56,Orthodox,25.0,165.1,167.64
8,Ricardo Lamas,Calvin Kattar,Blue,Featherweight,3,Orthodox,37.0,172.72,180.34,Orthodox,31.0,180.34,182.88
9,Yan Xiaonan,Angela Hill,Red,Women's Strawweight,3,Orthodox,29.0,165.1,160.02,Orthodox,34.0,160.02,162.56
10,Bevon Lewis,Darren Stewart,Blue,Middleweight,3,Orthodox,28.0,190.5,200.66,Orthodox,28.0,182.88,187.96
11,Eddie Wineland,Grigorii Popov,Red,Bantamweight,3,Orthodox,34.0,170.18,175.26,Switch,35.0,170.18,172.72
12,Katlyn Chookagian,Joanne Calderwood,Red,Women's Flyweight,3,Orthodox,30.0,175.26,172.72,Orthodox,33.0,167.64,165.1
13,Alexander Gustafsson,Anthony Smith,Blue,Light Heavyweight,5,Orthodox,32.0,195.58,200.66,Orthodox,30.0,193.04,193.04
14,Jimi Manuwa,Aleksandar Rakic,Blue,Light Heavyweight,3,Orthodox,39.0,185.42,200.66,Orthodox,27.0,193.04,198.12
15,Makwan Amirkhani,Chris Fishgold,Red,Featherweight,3,Southpaw,30.0,177.8,182.88,Orthodox,26.0,172.72,172.72
16,Damir Hadzovic,Christos Giagos,Blue,Lightweight,3,Orthodox,32.0,175.26,177.8,Orthodox,29.0,177.8,180.34
17,Daniel Teymur,Sung Bin Jo,Red,Featherweight,3,Orthodox,31.0,165.1,175.26,Orthodox,26.0,182.88,182.88
18,Rostem Akman,Sergey Khandozhko,Blue,Welterweight,3,Switch,27.0,177.8,182.88,Orthodox,27.0,185.42,187.96
19,Tonya Evinger,Lina Lansberg,Blue,Women's Bantamweight,3,Orthodox,37.0,170.18,177.8,Orthodox,37.0,170.18,165.1
20,Stevie Ray,Leonardo Santos,Blue,Lightweight,3,Southpaw,29.0,177.8,177.8,Orthodox,39.0,182.88,190.5
21,Nick Hein,Frank Camacho,Blue,Lightweight,3,Southpaw,35.0,167.64,167.64,Orthodox,30.0,177.8,185.42
22,Bea Malecki,Duda Santana,Red,Women's Bantamweight,3,Orthodox,27.0,175.26,187.96,Orthodox,23.0,170.18,185.42
23,Darko Stosic,Devin Clark,Blue,Light Heavyweight,3,Orthodox,27.0,182.88,193.04,Orthodox,29.0,182.88,190.5
24,Joel Alvarez,Danilo Belluardo,Red,Lightweight,3,Orthodox,25.0,190.5,195.58,Southpaw,24.0,182.88,187.96
25,Rafael Dos Anjos,Kevin Lee,Red,Welterweight,5,Southpaw,34.0,172.72,177.8,Orthodox,26.0,175.26,195.58
26,Antonio Carlos Junior,Ian Heinisch,Blue,Middleweight,3,Orthodox,29.0,187.96,200.66,Orthodox,30.0,180.34,182.88
27,Megan Anderson,Felicia Spencer,Blue,Women's Featherweight,3,Orthodox,29.0,182.88,182.88,Orthodox,28.0,167.64,172.72
28,Vicente Luque,Derrick Krantz,Red,Welterweight,3,Orthodox,27.0,180.34,190.5,Orthodox,31.0,177.8,182.88
29,Charles Oliveira,Nik Lentz,Red,Lightweight,3,Orthodox,29.0,177.8,187.96,Orthodox,34.0,172.72,172.72
30,Davi Ramos,Austin Hubbard,Red,Lightweight,3,Orthodox,32.0,167.64,177.8,Orthodox,27.0,177.8,180.34
31,Aspen Ladd,Sijara Eubanks,Red,Women's Bantamweight,3,Orthodox,24.0,167.64,167.64,,34.0,162.56,170.18
32,Desmond Green,Charles Jourdain,Red,Lightweight,3,Southpaw,29.0,177.8,185.42,Switch,23.0,175.26,175.26
33,Danny Roberts,Michel Pereira,Blue,Welterweight,3,Southpaw,31.0,185.42,187.96,Orthodox,25.0,185.42,185.42
34,Michael Trizano,Grant Dawson,Blue,Featherweight,3,Orthodox,27.0,180.34,180.34,Switch,25.0,177.8,182.88
35,Patrick Cummins,Ed Herman,Blue,Light Heavyweight,3,Orthodox,38.0,187.96,193.04,Orthodox,38.0,185.42,195.58
36,Zak Cummings,Trevin Giles,Red,Middleweight,3,Southpaw,34.0,182.88,190.5,Orthodox,26.0,182.88,187.96
37,Julio Arce,Julian Erosa,Red,Featherweight,3,Southpaw,29.0,170.18,177.8,Southpaw,29.0,185.42,187.96
38,Rose Namajunas,Jessica Andrade,Blue,Women's Strawweight,5,Orthodox,26.0,165.1,165.1,Orthodox,27.0,154.94,157.48
39,Jared Cannonier,Anderson Silva,Red,Middleweight,3,Switch,35.0,180.34,195.58,Southpaw,44.0,187.96,195.58
40,Jose Aldo,Alexander Volkanovski,Blue,Featherweight,3,Orthodox,32.0,170.18,177.8,Orthodox,30.0,167.64,180.34
41,Thiago Alves,Laureano Staropoli,Blue,Welterweight,3,Orthodox,35.0,175.26,177.8,Orthodox,26.0,185.42,180.34
42,Irene Aldana,Bethe Correia,Red,Women's Bantamweight,3,Orthodox,31.0,175.26,172.72,Orthodox,35.0,165.1,162.56
43,Rogerio Nogueira,Ryan Spann,Blue,Light Heavyweight,3,Southpaw,42.0,187.96,190.5,Orthodox,27.0,195.58,200.66
44,Thiago Moises,Kurt Holobaugh,Red,Lightweight,3,Orthodox,24.0,175.26,177.8,Orthodox,32.0,180.34,177.8
45,Warlley Alves,Sergio Moraes,Red,Welterweight,3,Orthodox,28.0,180.34,182.88,Orthodox,36.0,182.88,182.88
46,BJ Penn,Clay Guida,Blue,Lightweight,3,Orthodox,40.0,175.26,177.8,Orthodox,37.0,170.18,177.8
47,Luana Carolina,Priscila Cachoeira,Red,Women's Flyweight,3,Orthodox,25.0,167.64,175.26,Orthodox,30.0,170.18,165.1
48,Raoni Barcelos,Carlos Huachin,Red,Bantamweight,3,Orthodox,32.0,170.18,170.18,Southpaw,22.0,162.56,170.18
49,Talita Bernardo,Viviane Araujo,Blue,Women's Bantamweight,3,Orthodox,32.0,162.56,172.72,Orthodox,32.0,162.56,172.72
50,Al Iaquinta,Donald Cerrone,Blue,Lightweight,5,Orthodox,32.0,177.8,177.8,Orthodox,36.0,185.42,185.42
51,Derek Brunson,Elias Theodorou,Red,Middleweight,3,Southpaw,35.0,185.42,195.58,Orthodox,30.0,185.42,190.5
52,Cub Swanson,Shane Burgos,Blue,Featherweight,3,Orthodox,35.0,172.72,177.8,Orthodox,28.0,180.34,190.5
53,Brad Katona,Merab Dvalishvili,Blue,Bantamweight,3,Orthodox,27.0,167.64,162.56,Orthodox,28.0,167.64,172.72
54,Walt Harris,Serghei Spivac,Red,Heavyweight,3,Southpaw,35.0,195.58,195.58,Orthodox,24.0,190.5,198.12
55,Marc-Andre Barriault,Andrew Sanchez,Blue,Middleweight,3,Orthodox,29.0,185.42,187.96,Orthodox,31.0,185.42,187.96
56,Macy Chiasson,Sarah Moras,Red,Women's Bantamweight,3,,27.0,180.34,182.88,,31.0,170.18,170.18
57,Aiemann Zahabi,Vince Morales,Blue,Bantamweight,3,Orthodox,31.0,172.72,172.72,Orthodox,28.0,170.18,177.8
58,Nordine Taleb,Kyle Prepolec,Red,Welterweight,3,Orthodox,37.0,185.42,187.96,Southpaw,29.0,177.8,177.8
59,Kyle Nelson,Matt Sayles,Blue,Featherweight,3,Switch,28.0,180.34,180.34,Orthodox,25.0,170.18,172.72
60,Arjan Bhullar,Juan Adams,Red,Heavyweight,3,Orthodox,32.0,185.42,190.5,Orthodox,27.0,195.58,203.2
61,Mitch Gagnon,Cole Smith,Blue,Bantamweight,3,Southpaw,34.0,165.1,165.1,Orthodox,30.0,180.34,170.18
62,Jacare Souza,Jack Hermansson,Blue,Middleweight,5,Orthodox,39.0,185.42,182.88,Orthodox,30.0,185.42,195.58
63,Greg Hardy,Dmitrii Smoliakov,Red,Heavyweight,3,Orthodox,30.0,195.58,203.2,Switch,36.0,187.96,187.96
64,Alex Oliveira,Mike Perry,Blue,Welterweight,3,Orthodox,31.0,180.34,193.04,Orthodox,27.0,177.8,180.34
65,Glover Teixeira,Ion Cutelaba,Red,Light Heavyweight,3,Orthodox,39.0,187.96,193.04,Southpaw,25.0,185.42,190.5
66,John Lineker,Cory Sandhagen,Blue,Bantamweight,3,Orthodox,28.0,160.02,170.18,Switch,27.0,180.34,177.8
67,Roosevelt Roberts,Thomas Gifford,Red,Lightweight,3,Orthodox,25.0,187.96,185.42,Orthodox,26.0,185.42,190.5
68,Ben Saunders,Takashi Sato,Blue,Welterweight,3,Orthodox,36.0,187.96,195.58,Southpaw,28.0,177.8,185.42
69,Andrei Arlovski,Augusto Sakai,Blue,Heavyweight,3,Orthodox,40.0,190.5,195.58,Orthodox,27.0,190.5,195.58
70,Carla Esparza,Virna Jandiroba,Red,Women's Strawweight,3,,31.0,154.94,160.02,Orthodox,30.0,160.02,162.56
71,Gilbert Burns,Mike Davis,Red,Lightweight,3,Orthodox,32.0,177.8,180.34,Orthodox,26.0,182.88,182.88
72,Jim Miller,Jason Gonzalez,Red,Lightweight,3,Southpaw,35.0,172.72,180.34,Southpaw,29.0,187.96,187.96
73,Angela Hill,Jodie Esquibel,Red,Women's Strawweight,3,Orthodox,34.0,160.02,162.56,Orthodox,32.0,154.94,162.56
74,Court McGee,Dhiego Lima,Blue,Welterweight,3,Orthodox,34.0,180.34,190.5,Orthodox,30.0,187.96,187.96
75,Alistair Overeem,Aleksei Oleinik,Red,Heavyweight,5,Orthodox,38.0,193.04,203.2,Orthodox,41.0,187.96,203.2
76,Islam Makhachev,Arman Tsarukyan,Red,Lightweight,3,Orthodox,27.0,177.8,177.8,Orthodox,22.0,170.18,182.88
77,Sergei Pavlovich,Marcelo Golm,Red,Heavyweight,3,Southpaw,26.0,190.5,213.36,Orthodox,26.0,190.5,190.5
78,Roxanne Modafferi,Antonina Shevchenko,Red,Women's Flyweight,3,,36.0,170.18,175.26,Southpaw,34.0,172.72,170.18
79,Krzysztof Jotko,Alen Amedovski,Red,Middleweight,3,Southpaw,29.0,185.42,195.58,Orthodox,31.0,177.8,187.96
80,Movsar Evloev,Seungwoo Choi,Red,Featherweight,3,Orthodox,25.0,170.18,182.88,Orthodox,26.0,182.88,187.96
81,Sultan Aliev,Keita Nakamura,Red,Welterweight,3,Orthodox,34.0,180.34,187.96,Southpaw,34.0,180.34,185.42
82,Alexander Yakovlev,Alex Da Silva,Red,Lightweight,3,Southpaw,34.0,190.5,187.96,Orthodox,23.0,172.72,185.42
83,Marcin Tybura,Shamil Abdurakhimov,Blue,Heavyweight,3,Orthodox,33.0,190.5,198.12,Orthodox,37.0,190.5,193.04
84,Gadzhimurad Antigulov,Michal Oleksiejczuk,Blue,Light Heavyweight,3,Orthodox,32.0,180.34,177.8,Southpaw,24.0,182.88,187.96
85,Magomed Mustafaev,Rafael Fiziev,Red,Lightweight,3,Orthodox,30.0,172.72,180.34,Switch,26.0,172.72,180.34
86,Max Holloway,Dustin Poirier,Blue,Lightweight,5,Orthodox,27.0,180.34,175.26,Southpaw,30.0,175.26,182.88
87,Kelvin Gastelum,Israel Adesanya,Blue,Middleweight,5,Southpaw,27.0,175.26,180.34,Switch,29.0,193.04,203.2
88,Eryk Anders,Khalil Rountree Jr.,Blue,Light Heavyweight,3,Southpaw,31.0,185.42,190.5,Southpaw,29.0,185.42,193.04
89,Alan Jouban,Dwight Grant,Blue,Welterweight,3,Southpaw,37.0,182.88,185.42,Switch,34.0,185.42,193.04
90,Ovince Saint Preux,Nikita Krylov,Blue,Light Heavyweight,3,Southpaw,36.0,190.5,203.2,Orthodox,27.0,190.5,195.58
91,Jalin Turner,Matt Frevola,Blue,Lightweight,3,Southpaw,23.0,190.5,195.58,Orthodox,28.0,175.26,180.34
92,Wilson Reis,Alexandre Pantoja,Blue,Flyweight,3,Southpaw,34.0,162.56,165.1,Orthodox,28.0,165.1,170.18
93,Max Griffin,Zelim Imadaev,Red,Welterweight,3,Orthodox,33.0,180.34,193.04,Orthodox,24.0,182.88,193.04
94,Boston Salmon,Khalid Taha,Blue,Bantamweight,3,Southpaw,28.0,175.26,175.26,Orthodox,27.0,165.1,175.26
95,Curtis Millender,Belal Muhammad,Blue,Welterweight,3,Orthodox,31.0,187.96,193.04,Orthodox,30.0,180.34,182.88
96,Montel Jackson,Andre Soukhamthath,Red,Bantamweight,3,Southpaw,26.0,177.8,190.5,Orthodox,30.0,175.26,177.8
97,Lauren Mueller,Poliana Botelho,Blue,Women's Flyweight,3,Orthodox,27.0,165.1,170.18,Orthodox,30.0,172.72,170.18
98,Brandon Davis,Randy Costa,Red,Bantamweight,3,Orthodox,28.0,177.8,182.88,Switch,24.0,175.26,185.42
99,Edson Barboza,Justin Gaethje,Blue,Lightweight,5,Orthodox,33.0,180.34,190.5,Orthodox,30.0,180.34,177.8
100,David Branch,Jack Hermansson,Blue,Middleweight,3,Orthodox,37.0,185.42,198.12,Orthodox,30.0,185.42,195.58
101,Josh Emmett,Michael Johnson,Red,Featherweight,3,Orthodox,34.0,167.64,177.8,Southpaw,32.0,177.8,185.42
102,Karolina Kowalkiewicz,Michelle Waterson,Blue,Women's Strawweight,3,Orthodox,33.0,160.02,162.56,Orthodox,33.0,160.02,157.48
103,Kennedy Nzechukwu,Paul Craig,Blue,Light Heavyweight,3,,,,,Orthodox,31.0,190.5,193.04
104,Sodiq Yusuff,Sheymon Moraes,Red,Featherweight,3,Orthodox,25.0,175.26,180.34,Orthodox,28.0,172.72,182.88
105,Marina Rodriguez,Jessica Aguilar,Red,Women's Strawweight,3,Orthodox,31.0,167.64,165.1,Orthodox,36.0,160.02,160.02
106,Ross Pearson,Desmond Green,Blue,Lightweight,3,Orthodox,34.0,172.72,175.26,Southpaw,29.0,177.8,185.42
107,Enrique Barzola,Kevin Aguilar,Blue,Featherweight,3,,29.0,170.18,177.8,Orthodox,30.0,170.18,185.42
108,Kevin Holland,Gerald Meerschaert,Red,Middleweight,3,Orthodox,26.0,190.5,205.74,Southpaw,31.0,185.42,195.58
109,Ray Borg,Casey Kenney,Blue,Bantamweight,3,Orthodox,25.0,162.56,160.02,Southpaw,28.0,170.18,172.72
110,Sabina Mazo,Maryna Moroz,Blue,Women's Flyweight,3,Orthodox,22.0,170.18,177.8,Orthodox,27.0,170.18,170.18
111,Alex Perez,Mark De La Rosa,Red,Bantamweight,3,Orthodox,27.0,167.64,165.1,Orthodox,24.0,167.64,165.1
112,Stephen Thompson,Anthony Pettis,Blue,Welterweight,5,Orthodox,36.0,182.88,190.5,Orthodox,32.0,177.8,182.88
113,Curtis Blaydes,Justin Willis,Red,Heavyweight,3,Orthodox,28.0,193.04,203.2,Southpaw,31.0,185.42,198.12
114,John Makdessi,Jesus Pinedo,Red,Lightweight,3,Orthodox,33.0,172.72,172.72,,22.0,177.8,
115,Jussier Formiga,Deiveson Figueiredo,Red,Flyweight,3,Orthodox,33.0,165.1,170.18,Orthodox,31.0,165.1,172.72
116,Luis Pena,Steven Peterson,Red,Featherweight,3,Southpaw,25.0,190.5,190.5,Orthodox,28.0,177.8,177.8
117,Maycee Barber,JJ Aldrich,Red,Women's Flyweight,3,Switch,20.0,165.1,165.1,Southpaw,26.0,165.1,170.18
118,Bryce Mitchell,Bobby Moffett,Red,Featherweight,3,Southpaw,24.0,177.8,,Orthodox,28.0,177.8,187.96
119,Marlon Vera,Frankie Saenz,Red,Bantamweight,3,Switch,26.0,172.72,177.8,Orthodox,38.0,167.64,167.64
120,Alexis Davis,Jennifer Maia,Blue,Women's Flyweight,3,Orthodox,34.0,167.64,172.72,Orthodox,30.0,162.56,162.56
121,Randa Markos,Angela Hill,Red,Women's Strawweight,3,Orthodox,33.0,162.56,160.02,Orthodox,34.0,160.02,162.56
122,Ryan MacDonald,Chris Gutierrez,Blue,Bantamweight,3,Switch,26.0,180.34,180.34,Orthodox,27.0,175.26,175.26
123,Eric Shelton,Jordan Espinosa,Blue,Flyweight,3,Orthodox,28.0,167.64,172.72,Orthodox,29.0,167.64,180.34
124,Darren Till,Jorge Masvidal,Blue,Welterweight,5,Southpaw,26.0,182.88,187.96,Orthodox,34.0,180.34,187.96
125,Leon Edwards,Gunnar Nelson,Red,Welterweight,3,Southpaw,27.0,182.88,187.96,Switch,30.0,180.34,182.88
126,Volkan Oezdemir,Dominick Reyes,Blue,Light Heavyweight,3,Orthodox,29.0,187.96,190.5,Southpaw,29.0,193.04,195.58
127,Nathaniel Wood,Jose Quinonez,Red,Bantamweight,3,Orthodox,25.0,167.64,175.26,,28.0,172.72,175.26
128,Danny Roberts,Claudio Silva,Blue,Welterweight,3,Southpaw,31.0,185.42,187.96,Southpaw,36.0,180.34,180.34
129,Jack Marshman,John Phillips,Red,Middleweight,3,Orthodox,29.0,182.88,185.42,Southpaw,33.0,180.34,190.5
130,Arnold Allen,Jordan Rinaldi,Red,Featherweight,3,Southpaw,25.0,172.72,177.8,Orthodox,31.0,177.8,182.88
131,Marc Diakiese,Joe Duffy,Red,Lightweight,3,Orthodox,25.0,177.8,185.42,Orthodox,31.0,177.8,185.42
132,Nicolae Negumereanu,Saparbeg Safarov,Blue,Light Heavyweight,3,Orthodox,24.0,182.88,198.12,Orthodox,32.0,185.42,198.12
133,Danny Henry,Dan Ige,Blue,Featherweight,3,Orthodox,30.0,182.88,185.42,Orthodox,27.0,170.18,180.34
134,Molly McCann,Priscila Cachoeira,Red,Women's Flyweight,3,Orthodox,28.0,162.56,157.48,Orthodox,30.0,170.18,165.1
135,Mike Grundy,Nad Narimani,Red,Featherweight,3,Orthodox,32.0,170.18,182.88,Orthodox,31.0,172.72,177.8
136,Derrick Lewis,Junior Dos Santos,Blue,Heavyweight,5,Orthodox,34.0,190.5,200.66,Orthodox,35.0,193.04,195.58
137,Elizeu Zaleski dos Santos,Curtis Millender,Red,Welterweight,3,Orthodox,32.0,180.34,185.42,Orthodox,31.0,187.96,193.04
138,Tim Means,Niko Price,Blue,Welterweight,3,Orthodox,35.0,187.96,190.5,Orthodox,29.0,182.88,193.04
139,Blagoy Ivanov,Ben Rothwell,Red,Heavyweight,3,Southpaw,32.0,180.34,185.42,Orthodox,37.0,193.04,198.12
140,Beneil Dariush,Drew Dober,Red,Lightweight,3,Southpaw,29.0,177.8,182.88,Southpaw,30.0,172.72,177.8
141,Tim Boetsch,Omari Akhmedov,Blue,Middleweight,3,Orthodox,38.0,182.88,187.96,Orthodox,31.0,182.88,185.42
142,Anthony Rocco Martin,Sergio Moraes,Red,Welterweight,3,Orthodox,29.0,182.88,185.42,Orthodox,36.0,182.88,182.88
143,Marion Reneau,Yana Kunitskaya,Blue,Women's Bantamweight,3,Orthodox,41.0,167.64,172.72,Orthodox,29.0,167.64,172.72
144,Grant Dawson,Julian Erosa,Red,Featherweight,3,Switch,25.0,177.8,182.88,Southpaw,29.0,185.42,187.96
145,Maurice Greene,Jeff Hughes,Red,Heavyweight,3,,32.0,200.66,208.28,Orthodox,30.0,187.96,198.12
146,Louis Smolka,Matt Schnell,Blue,Bantamweight,3,Orthodox,27.0,175.26,172.72,Orthodox,29.0,172.72,177.8
147,Alex Morono,Zak Ottow,Red,Welterweight,3,Orthodox,28.0,180.34,182.88,Orthodox,32.0,180.34,182.88
148,Alex White,Dan Moret,Red,Lightweight,3,Southpaw,30.0,182.88,180.34,Southpaw,32.0,182.88,185.42
149,Jon Jones,Anthony Smith,Red,Light Heavyweight,5,Orthodox,31.0,193.04,213.36,Orthodox,30.0,193.04,193.04
150,Tyron Woodley,Kamaru Usman,Blue,Welterweight,5,Orthodox,36.0,175.26,187.96,Switch,31.0,182.88,193.04
151,Robbie Lawler,Ben Askren,Blue,Welterweight,3,Southpaw,36.0,180.34,187.96,Orthodox,34.0,180.34,185.42
152,Tecia Torres,Weili Zhang,Blue,Women's Strawweight,3,Orthodox,29.0,154.94,152.4,Switch,29.0,162.56,
153,Cody Garbrandt,Pedro Munhoz,Blue,Bantamweight,3,Orthodox,27.0,172.72,165.1,Orthodox,32.0,167.64,165.1
154,Jeremy Stephens,Zabit Magomedsharipov,Blue,Featherweight,3,Orthodox,32.0,172.72,180.34,Orthodox,28.0,185.42,185.42
155,Misha Cirkunov,Johnny Walker,Blue,Light Heavyweight,3,Orthodox,32.0,190.5,195.58,Orthodox,26.0,195.58,208.28
156,Cody Stamann,Alejandro Perez,Red,Bantamweight,3,Orthodox,29.0,167.64,162.56,Orthodox,29.0,167.64,170.18
157,Diego Sanchez,Mickey Gall,Red,Welterweight,3,Southpaw,37.0,177.8,182.88,Switch,27.0,187.96,187.96
158,Edmen Shahbazyan,Charles Byrd,Red,Middleweight,3,Orthodox,21.0,187.96,,Orthodox,35.0,177.8,185.42
159,Gina Mazany,Macy Chiasson,Blue,Women's Bantamweight,3,Southpaw,30.0,167.64,172.72,,27.0,180.34,182.88
160,Polyana Viana,Hannah Cifers,Blue,Women's Strawweight,3,Orthodox,26.0,165.1,170.18,Orthodox,26.0,154.94,160.02
161,Jan Blachowicz,Thiago Santos,Blue,Light Heavyweight,5,Orthodox,35.0,187.96,198.12,Orthodox,35.0,187.96,193.04
162,Stefan Struve,Marcos Rogerio de Lima,Red,Heavyweight,3,Orthodox,31.0,210.82,213.36,Orthodox,33.0,185.42,190.5
163,Gian Villante,Michal Oleksiejczuk,Blue,Light Heavyweight,3,Orthodox,33.0,190.5,193.04,Southpaw,24.0,182.88,187.96
164,Liz Carmouche,Lucie Pudilova,Red,Women's Flyweight,3,Orthodox,35.0,167.64,167.64,Orthodox,24.0,172.72,170.18
165,John Dodson,Petr Yan,Blue,Bantamweight,3,Orthodox,34.0,160.02,167.64,Switch,26.0,170.18,170.18
166,Magomed Ankalaev,Klidson Abreu,Red,Light Heavyweight,3,Orthodox,26.0,190.5,190.5,Orthodox,26.0,182.88,187.96
167,Dwight Grant,Carlo Pedersoli,Red,Welterweight,3,Switch,34.0,185.42,193.04,Southpaw,25.0,180.34,190.5
168,Daniel Teymur,Chris Fishgold,Blue,Featherweight,3,Orthodox,31.0,165.1,175.26,Orthodox,26.0,172.72,172.72
169,Veronica Macedo,Gillian Robertson,Blue,Women's Flyweight,3,Southpaw,23.0,162.56,162.56,,23.0,165.1,160.02
170,Damir Hadzovic,Polo Reyes,Red,Lightweight,3,Orthodox,32.0,175.26,177.8,,34.0,180.34,180.34
171,Michel Prazeres,Ismail Naurdiev,Blue,Welterweight,3,Orthodox,37.0,167.64,170.18,Orthodox,22.0,177.8,187.96
172,Rustam Khabilov,Diego Ferreira,Blue,Lightweight,3,Orthodox,32.0,172.72,185.42,Orthodox,34.0,175.26,187.96
173,Damir Ismagulov,Joel Alvarez,Red,Lightweight,3,Orthodox,28.0,177.8,,Orthodox,24.0,190.5,195.58
174,Francis Ngannou,Cain Velasquez,Red,Heavyweight,5,Orthodox,32.0,193.04,210.82,Orthodox,36.0,185.42,195.58
175,James Vick,Paul Felder,Blue,Lightweight,3,Orthodox,31.0,190.5,193.04,Orthodox,34.0,180.34,177.8
176,Cortney Casey,Cynthia Calvillo,Blue,Women's Strawweight,3,Orthodox,31.0,170.18,170.18,Orthodox,31.0,162.56,162.56
177,Alex Caceres,Kron Gracie,Blue,Featherweight,3,Southpaw,30.0,177.8,185.42,Southpaw,30.0,175.26,177.8
178,Vicente Luque,Bryan Barberena,Red,Welterweight,3,Orthodox,27.0,180.34,190.5,Southpaw,29.0,182.88,182.88
179,Andre Fili,Myles Jury,Red,Featherweight,3,Orthodox,28.0,180.34,187.96,Orthodox,30.0,177.8,185.42
180,Jimmie Rivera,Aljamain Sterling,Blue,Bantamweight,3,Orthodox,29.0,162.56,172.72,Orthodox,29.0,170.18,180.34
181,Benito Lopez,Manny Bermudez,Blue,Bantamweight,3,Switch,24.0,177.8,185.42,Orthodox,24.0,177.8,180.34
182,Ashlee Evans-Smith,Andrea Lee,Blue,Women's Flyweight,3,Orthodox,31.0,172.72,170.18,Orthodox,30.0,167.64,175.26
183,Scott Holtzman,Nik Lentz,Blue,Lightweight,3,Orthodox,35.0,175.26,175.26,Orthodox,34.0,172.72,172.72
184,Renan Barao,Luke Sanders,Blue,Bantamweight,3,Orthodox,32.0,167.64,177.8,Southpaw,33.0,167.64,170.18
185,Alexandra Albu,Emily Whitmire,Blue,Women's Strawweight,3,Orthodox,28.0,157.48000000000005,160.02,,27.0,165.1,160.02
186,Israel Adesanya,Anderson Silva,Red,Middleweight,3,Switch,29.0,193.04,203.2,Southpaw,43.0,187.96,195.58
187,Lando Vannata,Marcos Mariano,Red,Lightweight,3,Orthodox,26.0,175.26,180.34,Switch,32.0,185.42,
188,Rani Yahya,Ricky Simon,Blue,Bantamweight,3,Orthodox,34.0,167.64,170.18,Orthodox,26.0,167.64,175.26
189,Montana De La Rosa,Nadia Kassem,Red,Women's Flyweight,3,,23.0,170.18,172.72,Southpaw,23.0,165.1,167.64
190,Jimmy Crute,Sam Alvey,Red,Light Heavyweight,3,Orthodox,22.0,187.96,187.96,Southpaw,32.0,187.96,190.5
191,Devonte Smith,Dong Hyun Ma,Red,Lightweight,3,Orthodox,25.0,175.26,193.04,Orthodox,30.0,180.34,177.8
192,Shane Young,Austin Arnett,Red,Featherweight,3,Orthodox,25.0,172.72,182.88,Orthodox,27.0,182.88,182.88
193,Kai Kara-France,Raulian Paiva,Red,Flyweight,3,Orthodox,25.0,165.1,175.26,Orthodox,23.0,172.72,175.26
194,Teruto Ishihara,Kyung Ho Kang,Blue,Bantamweight,3,Southpaw,27.0,170.18,175.26,Orthodox,31.0,175.26,185.42
195,Callan Potter,Jalin Turner,Blue,Lightweight,3,Orthodox,34.0,182.88,182.88,Southpaw,23.0,190.5,195.58
196,Wuliji Buren,Jonathan Martinez,Blue,Bantamweight,3,Orthodox,29.0,175.26,175.26,Southpaw,32.0,172.72,177.8
197,Raphael Assuncao,Marlon Moraes,Blue,Bantamweight,5,Orthodox,36.0,165.1,167.64,Orthodox,30.0,167.64,170.18
198,Jose Aldo,Renato Moicano,Red,Featherweight,3,Orthodox,32.0,170.18,177.8,Orthodox,29.0,180.34,182.88
199,Demian Maia,Lyman Good,Red,Welterweight,3,Southpaw,41.0,185.42,182.88,Orthodox,33.0,182.88,187.96
200,Charles Oliveira,David Teymur,Red,Lightweight,3,Orthodox,29.0,177.8,187.96,Southpaw,29.0,175.26,185.42
201,Johnny Walker,Justin Ledet,Red,Light Heavyweight,3,Orthodox,26.0,195.58,208.28,Orthodox,30.0,193.04,203.2
202,Livinha Souza,Sarah Frota,Red,Women's Strawweight,3,Orthodox,27.0,165.1,160.02,Southpaw,31.0,167.64,175.26
203,Markus Perez,Anthony Hernandez,Red,Middleweight,3,Orthodox,30.0,185.42,185.42,Orthodox,25.0,182.88,190.5
204,Mara Romero Borella,Taila Santos,Red,Women's Flyweight,3,Orthodox,32.0,167.64,175.26,Orthodox,25.0,165.1,172.72
