,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
1077,Michel Prazeres,Joshua Burkman,Red,Lightweight,3,Orthodox,35.0,167.64,170.18,Orthodox,36.0,177.8,182.88
1078,Rony Jason,Jeremy Kennedy,Blue,Featherweight,3,Orthodox,32.0,170.18,177.8,Orthodox,24.0,180.34,180.34
1079,Garreth McLellan,Paulo Costa,Blue,Middleweight,3,Southpaw,34.0,185.42,182.88,,25.0,185.42,182.88
1080,Tyron Woodley,Stephen Thompson,Red,Welterweight,5,Orthodox,34.0,175.26,187.96,Orthodox,34.0,182.88,190.5
1081,Lando Vannata,David Teymur,Blue,Lightweight,3,Orthodox,24.0,175.26,180.34,Southpaw,27.0,175.26,185.42
1082,Rashad Evans,Daniel Kelly,Blue,Middleweight,3,Orthodox,37.0,182.88,190.5,Southpaw,39.0,182.88,177.8
1083,Amanda Cooper,Cynthia Calvillo,Blue,Women's Strawweight,3,Switch,25.0,160.02,162.56,Orthodox,29.0,162.56,162.56
1084,Alistair Overeem,Mark Hunt,Red,Heavyweight,3,Orthodox,36.0,193.04,203.2,Orthodox,42.0,177.8,182.88
1085,Marcin Tybura,Luis Henrique,Red,Heavyweight,3,Orthodox,31.0,190.5,198.12,Orthodox,23.0,187.96,187.96
1086,Mirsad Bektic,Darren Elkins,Blue,Featherweight,3,Orthodox,26.0,172.72,177.8,Orthodox,32.0,177.8,180.34
1087,Iuri Alcantara,Luke Sanders,Red,Bantamweight,3,Southpaw,36.0,175.26,180.34,Southpaw,31.0,167.64,170.18
1088,Mark Godbeer,Daniel Spitz,Red,Heavyweight,3,Orthodox,33.0,193.04,195.58,Orthodox,26.0,200.66,208.28
1089,Tyson Pedro,Paul Craig,Red,Light Heavyweight,3,Orthodox,25.0,190.5,200.66,Orthodox,29.0,190.5,193.04
1090,Albert Morales,Andre Soukhamthath,Red,Bantamweight,3,Orthodox,25.0,175.26,182.88,Orthodox,28.0,175.26,177.8
1091,Derrick Lewis,Travis Browne,Red,Heavyweight,5,Orthodox,32.0,190.5,200.66,Orthodox,34.0,198.12,200.66
1092,Johny Hendricks,Hector Lombard,Red,Middleweight,3,Southpaw,33.0,175.26,175.26,Southpaw,39.0,175.26,180.34
1093,Sam Sicilia,Gavin Tucker,Blue,Featherweight,3,Orthodox,31.0,172.72,170.18,Southpaw,30.0,167.64,167.64
1094,Elias Theodorou,Cezar Ferreira,Red,Middleweight,3,Orthodox,28.0,185.42,190.5,Southpaw,32.0,185.42,198.12
1095,Sara McMann,Gina Mazany,Red,Women's Bantamweight,3,Orthodox,36.0,167.64,167.64,Southpaw,28.0,167.64,172.72
1096,Paul Felder,Alessandro Ricci,Red,Lightweight,3,Orthodox,32.0,180.34,177.8,Orthodox,34.0,180.34,175.26
1097,Nordine Taleb,Santiago Ponzinibbio,Blue,Welterweight,3,Orthodox,35.0,185.42,187.96,Orthodox,30.0,182.88,185.42
1098,Carla Esparza,Randa Markos,Blue,Women's Strawweight,3,,29.0,154.94,160.02,Orthodox,31.0,162.56,160.02
1099,Aiemann Zahabi,Reginaldo Vieira,Red,Bantamweight,3,Orthodox,29.0,172.72,172.72,,34.0,170.18,165.1
1100,Jack Marshman,Thiago Santos,Blue,Middleweight,3,Orthodox,27.0,182.88,185.42,Orthodox,33.0,187.96,193.04
1101,Gerald Meerschaert,Ryan Janes,Red,Middleweight,3,Southpaw,29.0,185.42,195.58,Orthodox,35.0,190.5,193.04
1102,Holly Holm,Germaine de Randamie,Blue,Women's Featherweight,5,Southpaw,35.0,172.72,175.26,Orthodox,32.0,175.26,180.34
1103,Anderson Silva,Derek Brunson,Red,Middleweight,3,Southpaw,41.0,187.96,195.58,Southpaw,33.0,185.42,195.58
1104,Jacare Souza,Tim Boetsch,Red,Middleweight,3,Orthodox,37.0,185.42,182.88,Orthodox,36.0,182.88,187.96
1105,Glover Teixeira,Jared Cannonier,Red,Light Heavyweight,3,Orthodox,37.0,187.96,193.04,Switch,32.0,180.34,195.58
1106,Dustin Poirier,Jim Miller,Red,Lightweight,3,Southpaw,28.0,175.26,182.88,Southpaw,33.0,172.72,180.34
1107,Randy Brown,Belal Muhammad,Blue,Welterweight,3,Orthodox,26.0,190.5,198.12,Orthodox,28.0,180.34,182.88
1108,Wilson Reis,Ulka Sasaki,Red,Flyweight,3,Southpaw,32.0,162.56,165.1,Southpaw,27.0,177.8,180.34
1109,Nik Lentz,Islam Makhachev,Blue,Lightweight,3,Orthodox,32.0,172.72,172.72,Orthodox,25.0,177.8,177.8
1110,Rick Glenn,Phillipe Nover,Red,Featherweight,3,Southpaw,27.0,182.88,177.8,Orthodox,33.0,175.26,182.88
1111,Ryan LaFlare,Roan Carneiro,Red,Welterweight,3,Southpaw,33.0,185.42,187.96,Orthodox,38.0,180.34,187.96
1112,Dennis Bermudez,Chan Sung Jung,Blue,Featherweight,5,Orthodox,30.0,167.64,167.64,Orthodox,29.0,170.18,182.88
1113,Alexa Grasso,Felice Herrig,Blue,Women's Strawweight,3,Orthodox,23.0,165.1,167.64,Orthodox,32.0,162.56,165.1
1114,Abel Trujillo,James Vick,Blue,Lightweight,3,Orthodox,33.0,172.72,177.8,Orthodox,29.0,190.5,193.04
1115,Ovince Saint Preux,Volkan Oezdemir,Blue,Light Heavyweight,3,Southpaw,33.0,190.5,203.2,Orthodox,27.0,187.96,190.5
1116,Anthony Hamilton,Marcel Fortuna,Blue,Heavyweight,3,Orthodox,36.0,195.58,193.04,Orthodox,31.0,185.42,187.96
1117,Jessica Andrade,Angela Hill,Red,Women's Strawweight,3,Orthodox,25.0,154.94,157.48,Orthodox,32.0,160.02,162.56
1119,Chas Skelly,Chris Gruetzemacher,Red,Featherweight,3,Orthodox,31.0,180.34,182.88,Orthodox,30.0,172.72,172.72
1120,Ricardo Ramos,Michinori Tanaka,Red,Bantamweight,3,Orthodox,21.0,175.26,182.88,Orthodox,26.0,165.1,170.18
1121,Tecia Torres,Bec Rawlings,Red,Women's Strawweight,3,Orthodox,27.0,154.94,152.4,Orthodox,27.0,167.64,162.56
1123,Daniel Jolly,Khalil Rountree Jr.,Blue,Light Heavyweight,3,Orthodox,32.0,185.42,190.5,Southpaw,26.0,185.42,193.04
