,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
3009,Tiequan Zhang,Jon Tuck,Blue,Lightweight,3,34.0,172.72,177.8,28.0,180.34,185.42
3010,Takeya Mizugaki,Jeff Hougland,Red,Bantamweight,3,28.0,170.18,172.72,34.0,170.18,172.72
3011,Alex Caceres,Motonobu Tezuka,Red,Bantamweight,3,24.0,177.8,185.42,25.0,170.18,167.64
3012,Yasuhiro Urushitani,John Lineker,Blue,Flyweight,3,36.0,165.1,182.88,22.0,160.02,170.18
3013,Riki Fukuda,Tom DeBlass,Red,Middleweight,3,31.0,182.88,185.42,30.0,182.88,190.5
3014,Anderson Silva,Stephan Bonnar,Red,Light Heavyweight,3,37.0,187.96,195.58,35.0,193.04,198.12
3015,Minotauro Nogueira,Dave Herman,Red,Heavyweight,3,36.0,190.5,195.58,28.0,193.04,193.04
3016,Glover Teixeira,Fabio Maldonado,Red,Light Heavyweight,3,32.0,187.96,193.04,32.0,185.42,190.5
3017,Jon Fitch,Erick Silva,Red,Welterweight,3,34.0,182.88,193.04,28.0,182.88,187.96
3018,Phil Davis,Wagner Prado,Red,Light Heavyweight,3,28.0,187.96,200.66,25.0,182.88,187.96
3019,Demian Maia,Rick Story,Red,Welterweight,3,34.0,185.42,182.88,28.0,175.26,180.34
3020,Rony Jason,Sam Sicilia,Red,Featherweight,3,28.0,170.18,177.8,26.0,172.72,170.18
3021,Gleison Tibau,Francisco Trinaldo,Red,Lightweight,3,29.0,177.8,180.34,34.0,175.26,177.8
3022,Diego Brandao,Joey Gambino,Red,Featherweight,3,25.0,170.18,172.72,23.0,170.18,182.88
3023,Sergio Moraes,Renee Forte,Red,Welterweight,3,30.0,182.88,182.88,25.0,170.18,180.34
3024,Luiz Cane,Chris Camozzi,Blue,Middleweight,3,31.0,187.96,195.58,25.0,187.96,193.04
3025,Cristiano Marcello,Reza Madadi,Red,Lightweight,3,34.0,175.26,182.88,34.0,180.34,182.88
3026,Travis Browne,Antonio Silva,Blue,Heavyweight,5,30.0,198.12,200.66,33.0,193.04,203.2
3027,Jake Ellenberger,Jay Hieron,Red,Welterweight,3,27.0,175.26,180.34,36.0,182.88,190.5
3028,John Dodson,Jussier Formiga,Red,Flyweight,3,28.0,160.02,167.64,27.0,165.1,170.18
3029,Josh Neer,Justin Edwards,Blue,Welterweight,3,29.0,180.34,182.88,29.0,177.8,177.8
3030,Michael Johnson,Danny Castillo,Red,Lightweight,3,26.0,177.8,185.42,33.0,175.26,180.34
3031,Aaron Simpson,Mike Pierce,Blue,Welterweight,3,38.0,182.88,185.42,32.0,172.72,177.8
3032,Marcus LeVesseur,Carlo Prater,Red,Lightweight,3,30.0,175.26,177.8,31.0,180.34,182.88
3033,Jacob Volkmann,Shane Roller,Red,Lightweight,3,32.0,175.26,180.34,33.0,177.8,182.88
3034,Bart Palaszewski,Diego Nunes,Blue,Featherweight,3,29.0,175.26,177.8,29.0,167.64,170.18
3035,Darren Uyenoyama,Phil Harris,Red,Flyweight,3,32.0,167.64,162.56,29.0,162.56,162.56
3036,Stefan Struve,Stipe Miocic,Red,Heavyweight,5,24.0,210.82,213.36,30.0,193.04,203.2
3037,Dan Hardy,Amir Sadollah,Red,Welterweight,3,30.0,182.88,187.96,32.0,177.8,187.96
3038,Brad Pickett,Yves Jabouin,Red,Bantamweight,3,34.0,167.64,172.72,33.0,170.18,172.72
3039,Paul Sass,Matt Wiman,Blue,Lightweight,3,24.0,182.88,185.42,29.0,177.8,172.72
