,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
2354,Neil Magny,Rodrigo de Lima,Red,Welterweight,3,26.0,190.5,203.2,23.0,170.18,190.5
2355,Dan Hooker,Ian Entwistle,Red,Featherweight,3,24.0,182.88,190.5,27.0,165.1,162.56
2356,Gian Villante,Sean O'Connell,Red,Light Heavyweight,3,28.0,190.5,193.04,30.0,185.42,187.96
2357,Demetrious Johnson,Ali Bagautinov,Red,Flyweight,5,27.0,160.02,167.64,29.0,162.56,165.1
2358,Rory MacDonald,Tyron Woodley,Red,Welterweight,3,24.0,182.88,193.04,32.0,175.26,187.96
2359,Ryan Bader,Rafael Feijao,Red,Light Heavyweight,3,31.0,187.96,187.96,34.0,185.42,185.42
2360,Andrei Arlovski,Brendan Schaub,Red,Heavyweight,3,35.0,190.5,195.58,31.0,193.04,198.12
2361,Ovince Saint Preux,Ryan Jimmo,Red,Light Heavyweight,3,31.0,190.5,203.2,32.0,185.42,185.42
2363,Valerie Letourneau,Elizabeth Phillips,Red,Women's Bantamweight,3,31.0,170.18,172.72,27.0,167.64,165.1
2364,Yves Jabouin,Mike Easton,Red,Bantamweight,3,35.0,170.18,172.72,30.0,167.64,177.8
2367,Jason Saggo,Josh Shockley,Red,Lightweight,3,28.0,180.34,180.34,24.0,185.42,187.96
2368,Benson Henderson,Rustam Khabilov,Red,Lightweight,5,30.0,175.26,177.8,27.0,172.72,185.42
2369,Diego Sanchez,Ross Pearson,Red,Lightweight,3,32.0,177.8,182.88,29.0,172.72,175.26
2370,John Dodson,John Moraga,Red,Flyweight,3,29.0,160.02,167.64,30.0,167.64,167.64
2371,Rafael Dos Anjos,Jason High,Red,Lightweight,3,29.0,172.72,177.8,32.0,172.72,180.34
2376,Scott Jorgensen,Danny Martinez,Red,Flyweight,3,31.0,165.1,167.64,28.0,167.64,170.18
2377,Jon Tuck,Jake Lindsey,Red,Lightweight,3,29.0,180.34,185.42,27.0,180.34,180.34
2378,Patrick Cummins,Roger Narvaez,Red,Light Heavyweight,3,33.0,187.96,193.04,30.0,190.5,200.66
2379,Stipe Miocic,Fabio Maldonado,Red,Heavyweight,5,31.0,193.04,203.2,34.0,185.42,190.5
2382,Demian Maia,Alexander Yakovlev,Red,Welterweight,3,36.0,185.42,182.88,29.0,190.5,187.96
2385,Elias Silverio,Ernest Chavez,Red,Lightweight,3,27.0,180.34,185.42,30.0,172.72,177.8
2387,Kevin Souza,Mark Eddiva,Red,Featherweight,3,29.0,182.88,187.96,28.0,172.72,172.72
2388,Ricardo Abreu,Wagner Silva,Red,Middleweight,3,30.0,180.34,185.42,27.0,182.88,180.34
2389,Marcos Rogerio de Lima,Richardson Moreira,Red,Heavyweight,3,28.0,185.42,190.5,30.0,187.96,182.88
2390,Pedro Munhoz,Matt Hobar,Red,Bantamweight,3,27.0,167.64,165.1,27.0,177.8,177.8
2395,Nick Hein,Drew Dober,Red,Lightweight,3,30.0,167.64,167.64,25.0,172.72,177.8
2396,Magnus Cedenblad,Krzysztof Jotko,Red,Middleweight,3,32.0,195.58,200.66,24.0,185.42,195.58
2398,Peter Sobotta,Pawel Pawlak,Red,Welterweight,3,27.0,182.88,190.5,25.0,182.88,185.42
2402,Daniel Cormier,Dan Henderson,Red,Light Heavyweight,3,35.0,180.34,182.88,43.0,180.34,187.96
2403,Robbie Lawler,Jake Ellenberger,Red,Welterweight,3,32.0,180.34,187.96,29.0,175.26,180.34
2404,Takeya Mizugaki,Francisco Rivera,Red,Bantamweight,3,30.0,170.18,172.72,32.0,172.72,172.72
2406,Michael Chiesa,Francisco Trinaldo,Red,Lightweight,3,26.0,185.42,190.5,35.0,175.26,177.8
2407,Tony Ferguson,Katsunori Kikuno,Red,Lightweight,3,30.0,180.34,193.04,32.0,172.72,167.64
2408,Chris Holdsworth,Chico Camus,Red,Bantamweight,3,26.0,180.34,180.34,29.0,167.64,167.64
2411,Sam Sicilia,Aaron Phillips,Red,Featherweight,3,28.0,172.72,170.18,24.0,175.26,177.8
2413,Matt Brown,Erick Silva,Red,Welterweight,5,33.0,182.88,190.5,29.0,182.88,187.96
2414,Costas Philippou,Lorenz Larkin,Red,Middleweight,3,34.0,180.34,185.42,27.0,180.34,182.88
2416,Neil Magny,Tim Means,Red,Welterweight,3,26.0,190.5,203.2,30.0,187.96,190.5
2417,Soa Palelei,Ruan Potts,Red,Heavyweight,3,36.0,193.04,205.74,36.0,187.96,190.5
2418,Chris Cariaso,Louis Smolka,Red,Flyweight,3,32.0,160.02,160.02,22.0,175.26,172.72
2419,Ed Herman,Rafael Natal,Red,Middleweight,3,33.0,185.42,195.58,31.0,182.88,193.04
2420,Kyoji Horiguchi,Darrell Montague,Red,Flyweight,3,23.0,165.1,167.64,26.0,167.64,170.18
2424,Justin Salas,Ben Wall,Red,Lightweight,3,32.0,172.72,177.8,25.0,177.8,185.42
2426,Jon Jones,Glover Teixeira,Red,Light Heavyweight,5,26.0,193.04,213.36,34.0,187.96,193.04
2428,Luke Rockhold,Tim Boetsch,Red,Middleweight,3,29.0,190.5,195.58,33.0,182.88,187.96
2429,Jim Miller,Yancy Medeiros,Red,Lightweight,3,30.0,172.72,180.34,26.0,177.8,190.5
2430,Max Holloway,Andre Fili,Red,Featherweight,3,22.0,180.34,175.26,23.0,180.34,187.96
2431,Joseph Benavidez,Tim Elliott,Red,Flyweight,3,29.0,162.56,165.1,27.0,170.18,167.64
2432,Takanori Gomi,Isaac Vallie-Flagg,Red,Lightweight,3,35.0,170.18,177.8,36.0,172.72,172.72
2434,Danny Castillo,Charlie Brenneman,Red,Lightweight,3,34.0,175.26,180.34,33.0,177.8,182.88
2435,Chris Beal,Patrick Williams,Red,Bantamweight,3,28.0,170.18,175.26,32.0,172.72,185.42
2436,Fabricio Werdum,Travis Browne,Red,Heavyweight,5,36.0,193.04,195.58,31.0,198.12,200.66
2437,Miesha Tate,Liz Carmouche,Red,Women's Bantamweight,3,27.0,167.64,165.1,30.0,167.64,167.64
2438,Donald Cerrone,Edson Barboza,Red,Lightweight,3,31.0,185.42,185.42,28.0,180.34,190.5
2441,Thiago Alves,Seth Baczynski,Red,Welterweight,3,30.0,175.26,177.8,32.0,190.5,187.96
2442,Jorge Masvidal,Pat Healy,Red,Lightweight,3,29.0,180.34,187.96,30.0,182.88,187.96
2444,Caio Magalhaes,Luke Zachrich,Red,Middleweight,3,26.0,185.42,185.42,32.0,187.96,187.96
2445,Jordan Mein,Hernani Perpetuo,Red,Welterweight,3,24.0,182.88,185.42,28.0,182.88,187.96
2446,Dustin Ortiz,Ray Borg,Red,Flyweight,3,25.0,165.1,165.1,20.0,162.56,160.02
2447,Mirsad Bektic,Chas Skelly,Red,Featherweight,3,23.0,172.72,177.8,28.0,180.34,182.88
2448,Derrick Lewis,Jack May,Red,Heavyweight,3,29.0,190.5,200.66,33.0,203.2,200.66
2450,Patrick Cote,Kyle Noke,Red,Welterweight,3,34.0,180.34,180.34,34.0,185.42,193.04
2452,Chad Laprise,Olivier Aubin-Mercier,Red,Welterweight,3,27.0,177.8,180.34,25.0,175.26,177.8
2453,Dustin Poirier,Akira Corassani,Red,Featherweight,3,25.0,175.26,182.88,31.0,172.72,172.72
2455,Sarah Kaufman,Leslie Smith,Red,Women's Bantamweight,3,28.0,165.1,170.18,31.0,175.26,167.64
2456,Ryan Jimmo,Sean O'Connell,Red,Light Heavyweight,3,32.0,185.42,185.42,30.0,185.42,187.96
2457,George Roop,Dustin Kimura,Red,Bantamweight,3,32.0,185.42,182.88,24.0,170.18,180.34
2458,Mark Bocek,Mike de la Torre,Red,Lightweight,3,32.0,172.72,190.5,27.0,180.34,180.34
2459,Nordine Taleb,Vik Grujic,Red,Middleweight,3,32.0,185.42,187.96,37.0,180.34,185.42
2460,Richard Walsh,Chris Indich,Red,Welterweight,3,25.0,182.88,185.42,26.0,177.8,185.42
2461,Mitch Gagnon,Tim Gorman,Red,Bantamweight,3,29.0,165.1,165.1,30.0,165.1,172.72
2463,Clay Guida,Tatsuya Kawajiri,Red,Featherweight,3,32.0,170.18,177.8,35.0,170.18,175.26
2465,Ramsey Nijem,Beneil Dariush,Red,Lightweight,3,26.0,180.34,190.5,24.0,177.8,182.88
2466,Jared Rosholt,Daniel Omielanczuk,Red,Heavyweight,3,27.0,187.96,190.5,31.0,182.88,187.96
2467,Thales Leites,Trevor Smith,Red,Middleweight,3,32.0,185.42,198.12,33.0,190.5,190.5
2471,Fabio Maldonado,Gian Villante,Red,Light Heavyweight,3,34.0,185.42,190.5,28.0,190.5,193.04
2472,Michel Prazeres,Mairbek Taisumov,Red,Lightweight,3,32.0,167.64,170.18,25.0,175.26,185.42
2473,Rony Jason,Steven Siler,Red,Featherweight,3,30.0,170.18,177.8,27.0,180.34,177.8
2475,Jussier Formiga,Scott Jorgensen,Red,Flyweight,3,28.0,165.1,170.18,31.0,165.1,167.64
2478,Godofredo Pepey,Noad Lahat,Red,Featherweight,3,26.0,170.18,185.42,29.0,175.26,175.26
2479,Johny Hendricks,Robbie Lawler,Red,Welterweight,5,30.0,175.26,175.26,31.0,180.34,187.96
2483,Ovince Saint Preux,Nikita Krylov,Red,Light Heavyweight,3,30.0,190.5,203.2,22.0,190.5,195.58
2484,Kelvin Gastelum,Rick Story,Red,Welterweight,3,22.0,175.26,180.34,29.0,175.26,180.34
2486,Dennis Bermudez,Jimy Hettes,Red,Featherweight,3,27.0,167.64,167.64,26.0,175.26,180.34
2492,Alexander Gustafsson,Jimi Manuwa,Red,Light Heavyweight,5,27.0,195.58,200.66,34.0,185.42,200.66
2493,Michael Johnson,Melvin Guillard,Red,Lightweight,3,27.0,177.8,185.42,30.0,175.26,172.72
2494,Brad Pickett,Neil Seery,Red,Flyweight,3,35.0,167.64,172.72,34.0,162.56,162.56
2495,Gunnar Nelson,Omari Akhmedov,Red,Welterweight,3,25.0,180.34,182.88,26.0,182.88,185.42
2497,Luke Barnatt,Mats Nilsson,Red,Middleweight,3,25.0,198.12,195.58,30.0,185.42,187.96
2499,Igor Araujo,Danny Mitchell,Red,Welterweight,3,33.0,185.42,195.58,27.0,187.96,187.96
2500,Dong Hyun Kim,John Hathaway,Red,Welterweight,5,32.0,187.96,193.04,26.0,185.42,190.5
2502,Matt Mitrione,Shawn Jordan,Red,Heavyweight,3,35.0,190.5,200.66,29.0,182.88,190.5
2503,Hatsu Hioki,Ivan Menjivar,Red,Featherweight,3,30.0,180.34,177.8,31.0,167.64,162.56
2508,Ronda Rousey,Sara McMann,Red,Women's Bantamweight,5,27.0,170.18,172.72,33.0,167.64,167.64
2509,Daniel Cormier,Patrick Cummins,Red,Light Heavyweight,3,34.0,180.34,182.88,33.0,187.96,193.04
2510,Rory MacDonald,Demian Maia,Red,Welterweight,3,24.0,182.88,193.04,36.0,185.42,182.88
2511,Mike Pyle,TJ Waldburger,Red,Welterweight,3,38.0,182.88,187.96,25.0,180.34,190.5
2513,Alexis Davis,Jessica Eye,Red,Women's Bantamweight,3,29.0,167.64,172.72,27.0,167.64,167.64
2514,Raphael Assuncao,Pedro Munhoz,Red,Bantamweight,3,31.0,165.1,167.64,27.0,167.64,165.1
2516,Zach Makovsky,Joshua Sampo,Red,Flyweight,3,30.0,162.56,162.56,29.0,162.56,162.56
2518,Ernest Chavez,Yosdenis Cedeno,Red,Lightweight,3,30.0,172.72,177.8,29.0,172.72,175.26
2519,Lyoto Machida,Gegard Mousasi,Red,Middleweight,5,35.0,185.42,187.96,28.0,187.96,193.04
2520,Jacare Souza,Francis Carmont,Red,Middleweight,3,34.0,185.42,182.88,32.0,190.5,198.12
2521,Erick Silva,Takenori Sato,Red,Welterweight,3,29.0,182.88,187.96,28.0,177.8,180.34
2523,Charles Oliveira,Andy Ogle,Red,Featherweight,3,24.0,177.8,187.96,24.0,172.72,175.26
2525,Rodrigo Damm,Ivan Jorge,Red,Lightweight,3,34.0,170.18,180.34,33.0,175.26,185.42
2526,Francisco Trinaldo,Jesse Ronson,Red,Lightweight,3,35.0,175.26,177.8,28.0,177.8,182.88
2527,Iuri Alcantara,Wilson Reis,Red,Bantamweight,3,33.0,175.26,180.34,29.0,162.56,165.1
2528,Felipe Arantes,Maximo Blanco,Red,Featherweight,3,26.0,172.72,185.42,30.0,172.72,180.34
2529,Ildemar Alcantara,Albert Tumenov,Red,Welterweight,3,31.0,187.96,198.12,22.0,180.34,185.42
2531,Renan Barao,Urijah Faber,Red,Bantamweight,5,27.0,167.64,177.8,34.0,167.64,170.18
2532,Jose Aldo,Ricardo Lamas,Red,Featherweight,5,27.0,170.18,177.8,31.0,172.72,180.34
2537,Chris Cariaso,Danny Martinez,Red,Flyweight,3,32.0,160.02,160.02,28.0,167.64,170.18
2538,Nick Catone,Tom Watson,Red,Middleweight,3,32.0,182.88,182.88,31.0,185.42,185.42
2539,Al Iaquinta,Kevin Lee,Red,Lightweight,3,26.0,177.8,177.8,21.0,175.26,195.58
2540,Clint Hester,Andy Enz,Red,Middleweight,3,27.0,187.96,195.58,22.0,190.5,198.12
2542,Neil Magny,Gasan Umalatov,Red,Welterweight,3,26.0,190.5,203.2,31.0,180.34,180.34
2543,Benson Henderson,Josh Thomson,Red,Lightweight,5,30.0,175.26,177.8,35.0,177.8,180.34
2544,Stipe Miocic,Gabriel Gonzaga,Red,Heavyweight,3,31.0,193.04,203.2,34.0,187.96,193.04
2545,Donald Cerrone,Adriano Martins,Red,Lightweight,3,30.0,185.42,185.42,31.0,177.8,182.88
2547,Alex Caceres,Sergio Pettis,Red,Bantamweight,3,25.0,177.8,185.42,20.0,167.64,175.26
2548,Eddie Wineland,Yves Jabouin,Red,Bantamweight,3,29.0,170.18,175.26,34.0,170.18,172.72
2550,Daron Cruickshank,Mike Rio,Red,Lightweight,3,28.0,172.72,182.88,32.0,177.8,180.34
2551,George Sullivan,Mike Rhodes,Red,Welterweight,3,32.0,182.88,185.42,24.0,185.42,187.96
2553,Luke Rockhold,Costas Philippou,Red,Middleweight,5,29.0,190.5,195.58,34.0,180.34,185.42
