,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
2276,Gray Maynard,Ross Pearson,Blue,Lightweight,3,35.0,175.26,177.8,29.0,172.72,175.26
2278,Seth Baczynski,Alan Jouban,Blue,Welterweight,3,32.0,190.5,187.96,32.0,182.88,185.42
2284,Nolan Ticman,Frankie Saenz,Blue,Bantamweight,3,26.0,167.64,175.26,34.0,167.64,167.64
2287,Clay Guida,Dennis Bermudez,Blue,Featherweight,3,32.0,170.18,177.8,27.0,167.64,167.64
2288,Josh Thomson,Bobby Green,Blue,Lightweight,3,35.0,177.8,180.34,27.0,177.8,180.34
2289,Daron Cruickshank,Jorge Masvidal,Blue,Lightweight,3,29.0,172.72,182.88,29.0,180.34,187.96
2290,Kyle Kingsbury,Patrick Cummins,Blue,Light Heavyweight,3,32.0,193.04,193.04,33.0,187.96,193.04
2291,Hernani Perpetuo,Tim Means,Blue,Welterweight,3,29.0,182.88,187.96,30.0,187.96,190.5
2292,Akbarh Arreola,Tiago Trator,Blue,Lightweight,3,31.0,177.8,180.34,27.0,175.26,177.8
2293,Andreas Stahl,Gilbert Burns,Blue,Welterweight,3,26.0,180.34,185.42,28.0,177.8,180.34
2294,Juliana Lima,Joanna Jedrzejczyk,Blue,Women's Strawweight,3,32.0,165.1,165.1,26.0,167.64,165.1
2295,Steven Siler,Noad Lahat,Blue,Featherweight,3,27.0,180.34,177.8,30.0,175.26,175.26
2298,Brad Pickett,Ian McCall,Blue,Flyweight,3,35.0,167.64,172.72,30.0,165.1,162.56
2303,Tor Troeng,Trevor Smith,Blue,Middleweight,3,31.0,187.96,195.58,33.0,190.5,190.5
2304,Cody Donovan,Nikita Krylov,Blue,Light Heavyweight,3,33.0,190.5,187.96,22.0,190.5,195.58
2309,Justin Salas,Joe Proctor,Blue,Lightweight,3,32.0,172.72,177.8,28.0,177.8,182.88
2313,Jessamyn Duke,Leslie Smith,Blue,Women's Bantamweight,3,28.0,180.34,185.42,31.0,175.26,167.64
2314,Hugo Viana,Aljamain Sterling,Blue,Bantamweight,3,31.0,167.64,170.18,24.0,170.18,180.34
2319,Dhiego Lima,Eddie Gordon,Blue,Middleweight,4,25.0,187.96,187.96,30.0,182.88,193.04
2321,Justin Scoggins,Dustin Ortiz,Blue,Flyweight,3,22.0,170.18,167.64,25.0,165.1,165.1
2322,Jesse Ronson,Kevin Lee,Blue,Lightweight,3,28.0,177.8,182.88,21.0,175.26,195.58
2323,Jumabieke Tuerxun,Leandro Issa,Blue,Bantamweight,3,28.0,170.18,170.18,30.0,170.18,175.26
2330,Marcus Brimage,Russell Doane,Blue,Bantamweight,3,29.0,162.56,180.34,27.0,170.18,177.8
2333,Chris Camozzi,Bruno Santos,Blue,Middleweight,3,27.0,187.96,193.04,26.0,175.26,175.26
2334,George Roop,Rob Font,Blue,Bantamweight,3,32.0,185.42,182.88,27.0,172.72,180.34
2342,Colton Smith,Diego Ferreira,Blue,Lightweight,3,26.0,182.88,180.34,29.0,175.26,187.96
2343,Johnny Bedford,Cody Gibson,Blue,Bantamweight,3,31.0,177.8,180.34,26.0,177.8,180.34
2347,James Te Huna,Nate Marquardt,Blue,Middleweight,5,32.0,187.96,190.5,35.0,182.88,187.96
2348,Soa Palelei,Jared Rosholt,Blue,Heavyweight,3,36.0,193.04,205.74,27.0,187.96,190.5
2349,Hatsu Hioki,Charles Oliveira,Blue,Featherweight,3,30.0,180.34,177.8,24.0,177.8,187.96
2353,Chris Indich,Vik Grujic,Blue,Welterweight,3,27.0,177.8,185.42,37.0,180.34,185.42
2362,Daniel Sarafian,Kiichi Kunimoto,Blue,Welterweight,3,31.0,175.26,185.42,33.0,177.8,180.34
2365,Kajan Johnson,Tae Hyun Bang,Blue,Lightweight,3,30.0,180.34,190.5,31.0,175.26,180.34
2366,Roland Delorme,Michinori Tanaka,Blue,Bantamweight,3,30.0,175.26,180.34,23.0,165.1,170.18
2372,Yves Edwards,Piotr Hallmann,Blue,Lightweight,3,37.0,175.26,185.42,26.0,175.26,180.34
2373,Erik Perez,Bryan Caraway,Blue,Bantamweight,3,24.0,172.72,172.72,29.0,172.72,172.72
2374,Yaotzin Meza,Sergio Pettis,Blue,Bantamweight,3,33.0,175.26,187.96,20.0,167.64,175.26
2375,Bobby Voelker,Lance Benoist,Blue,Welterweight,3,35.0,182.88,190.5,25.0,180.34,185.42
2380,Vitor Miranda,Antonio Carlos Junior,Blue,Heavyweight,3,35.0,185.42,195.58,24.0,187.96,200.66
2381,Marcio Alexandre Junior,Warlley Alves,Blue,Middleweight,3,25.0,182.88,190.5,23.0,180.34,182.88
2383,Rony Jason,Robert Peralta,Blue,Featherweight,3,30.0,170.18,177.8,28.0,172.72,180.34
2384,Rodrigo Damm,Rashid Magomedov,Blue,Lightweight,3,34.0,170.18,180.34,29.0,175.26,177.8
2386,Paulo Thiago,Gasan Umalatov,Blue,Welterweight,3,33.0,180.34,185.42,31.0,180.34,180.34
2391,Mark Munoz,Gegard Mousasi,Blue,Middleweight,5,36.0,182.88,182.88,28.0,187.96,193.04
2392,Francis Carmont,CB Dollaway,Blue,Middleweight,3,32.0,190.5,198.12,30.0,187.96,193.04
2393,Luke Barnatt,Sean Strickland,Blue,Middleweight,3,26.0,198.12,195.58,23.0,185.42,193.04
2394,Tom Niinimaki,Niklas Backstrom,Blue,Featherweight,3,31.0,175.26,175.26,24.0,185.42,187.96
2397,Vaughan Lee,Iuri Alcantara,Blue,Bantamweight,3,31.0,167.64,167.64,33.0,175.26,180.34
2399,Andy Ogle,Maximo Blanco,Blue,Featherweight,3,25.0,172.72,175.26,30.0,172.72,180.34
2400,Viktor Pesta,Ruslan Magomedov,Blue,Heavyweight,3,23.0,190.5,195.58,27.0,190.5,198.12
